City,CGPA
Agartala,7.660714285714286
Agra,8.046428571428573
Ahemdabad,8.190384615384614
Ajmer,8.284313725490197
Akola,8.02142857142857
Aligarh,7.828571428571428
Alipore,8.1
Almora,8.039285714285715
Ambala,8.018604651162791
Ambikapur,8.0
Amer,7.923529411764706
Amravati,7.866666666666667
Amreli,8.001923076923077
Amritsar,7.9450980392156865
Anantnag,7.978571428571429
Aurangabad,8.258823529411764
Badmi,7.95
Baleshwar,8.064285714285715
Ballari,8.092857142857143
Baramula,8.085714285714285
Barmer,8.07843137254902
Belgavi,8.221428571428572
Bengaluru,8.05
Bhandara,7.909803921568627
Bhilai,7.778571428571429
Bhopal,8.171428571428573
Bhsawal,7.943137254901961
Bid,7.829411764705883
Bidar,7.835714285714286
Bikaner,7.880769230769231
Budaun,8.292857142857143
Buldhana,8.352941176470589
Burani,8.268181818181818
Chamba,7.728571428571429
Chandigarh,8.059649122807016
Chapra,8.05
Cuttack,8.035714285714286
Daman,7.421428571428572
Darbhanga,8.357142857142858
Dehri,7.85
Delhi,8.414285714285715
Deoria,7.95
Dhar,7.7
Dhule,8.035294117647059
Diu,8.035714285714286
Doda,7.685714285714285
Durg,7.8500000000000005
Durgapur,7.810714285714285
Dwarka,8.001923076923077
Eluru,7.9818181818181815
Faridabad,8.11860465116279
Gangtok,8.25
Gaya,7.964285714285714
Ghaziabad,7.853571428571429
Ghazipur,7.957142857142857
Godhra,7.974
Gonda,8.201785714285714
Gorakhpur,7.810714285714285
Gulmarg,7.921428571428572
Guna,8.157142857142857
Gurugram,8.459259259259259
Guwahati,8.336363636363636
Gwalior,7.9071428571428575
Haijipur,8.22857142857143
Hamirpur,7.992857142857143
Haora,8.028571428571428
Hasan,8.392857142857142
Hisar,8.011111111111111
Hugli,8.275
Hyderbad,7.764285714285714
Indore,7.964285714285714
Jaipur,8.288461538461538
Jalgaon,8.02156862745098
Jalor,7.934615384615385
Jamalpur,8.107142857142858
Jammu,8.278571428571428
Jamnagar,8.118181818181817
Jhalwar,8.348076923076924
Jhansi,7.957142857142857
Jind,8.262962962962963
Jodhpur,7.967307692307693
Junagadh,7.975
Kaithal,7.903703703703704
Kaithar,7.8500000000000005
Kalyan,8.131372549019607
Kangra,7.814285714285715
Kanpur,8.02142857142857
Karli,7.8
Karnal,7.984615384615385
Kheda,8.111363636363636
Kochi,8.028571428571428
Kolar,7.835714285714286
Kolhapur,8.557142857142859
Kolkata,7.832142857142857
Kollam,8.171428571428573
Kota,7.925000000000001
Kunrool,7.886363636363637
Lucknow,7.792857142857143
Madgaon,8.157142857142857
Mahe,8.035294117647059
Mainpuri,7.875
Malda,8.289285714285715
Mandi,8.064285714285715
Matheran,8.042857142857143
Mathura,8.071428571428571
Morbi,7.965909090909091
Motihari,7.8999999999999995
Mumbai,8.16470588235294
Munger,8.307142857142857
Muzaffarpur,8.278571428571428
Mysuru,7.814285714285714
Nadiad,8.154545454545454
Nagaon,7.8090909090909095
Nagpur,8.031372549019608
Nanded,8.027450980392157
Narwar,8.3
Nashik,7.5928571428571425
Navi Mumbai,8.076470588235294
Navsari,7.854545454545455
New Delhi,7.307142857142857
Nizambad,8.342857142857143
Okha,7.925
Orchha,8.033333333333333
Palashi,7.921428571428572
Pali,7.988461538461538
Panipat,7.615384615384615
Panji,8.321428571428571
Patiala,8.094117647058823
Patna,7.7266666666666675
Punch,8.257142857142856
Pune,8.4
Puri,8.45
Raipur,8.507142857142856
Rajkot,8.193181818181818
Rajouri,7.778571428571429
Rewari,7.392307692307692
Rohtak,7.823076923076922
Sagar,8.245238095238095
Sangli,7.957142857142856
Sangola,7.892857142857143
Sangrur,7.972549019607843
Santipur,7.971428571428571
Sasaram,7.935714285714285
Satara,8.164285714285715
Satna,7.954761904761905
Shillong,7.957142857142857
Shimla,7.9071428571428575
Sikar,8.15
Silguri,8.035714285714286
Siliguri,7.835714285714286
Silvassa,7.835714285714286
Sirsa,8.0
Siuri,8.2125
Sivasagar,7.959090909090909
Siwan,8.45
Solapur,7.714285714285714
Sonipat,8.464285714285714
Srinagar,8.435714285714285
Surat,8.061363636363636
Talmuk,8.023214285714285
Tezpur,8.063636363636364
Thane,8.049019607843137
Thrissur,8.028571428571428
Tirupati,8.213636363636363
Titagrah,8.064285714285715
Udhampur,8.064285714285715
Ujjain,8.05952380952381
Ulhasnagar,7.785714285714286
Una,8.25
Valsad,8.052272727272728
Varanasi,8.253571428571428
Vasai,7.671428571428572
Vidisha,7.738095238095238
Vijaywada,7.986363636363635
Wardha,8.328571428571427
konark,8.071428571428571
kullu,7.878571428571428
