How did you come to know about this event?,Email ID
Cloud Counselage Website,114
Cloud Counselage Website | Friend/ Classmate,2
Cloud Counselage Website | Friend/ Classmate | SPOC/ College Professor,1
Cloud Counselage Website | Others,6
Cloud Counselage Website | SPOC/ College Professor,6
Email,360
Email | Cloud Counselage Website,23
Email | Cloud Counselage Website | Telegram,2
Email | Others,3
Email | SPOC/ College Professor,15
Facebook,46
Facebook | Cloud Counselage Website,1
Facebook | Instagram,2
Facebook | Instagram | Whatsapp | Email,1
Facebook | LinkedIn,1
Facebook | Whatsapp,2
Friend/ Classmate,30
Friend/ Classmate | SPOC/ College Professor,9
Instagram,29
Instagram | Email,3
Instagram | Friend/ Classmate,1
Instagram | LinkedIn,3
Instagram | LinkedIn | Cloud Counselage Website,1
Instagram | LinkedIn | Email | Cloud Counselage Website,2
Instagram | Whatsapp,3
Instagram | Whatsapp | Cloud Counselage Website,1
Instagram | Whatsapp | Email,3
Instagram | Whatsapp | Email | Others,1
LinkedIn,50
LinkedIn | Cloud Counselage Website,2
LinkedIn | Email,5
LinkedIn | Email | Cloud Counselage Website,2
LinkedIn | Email | Cloud Counselage Website | Telegram,2
LinkedIn | Email | Telegram,1
LinkedIn | SPOC/ College Professor,1
LinkedIn | Telegram,2
LinkedIn | Whatsapp,4
LinkedIn | Whatsapp | Cloud Counselage Website,1
LinkedIn | Whatsapp | Cloud Counselage Website | Friend/ Classmate,1
LinkedIn | Whatsapp | Email,2
Others,137
Others | SPOC/ College Professor,1
SPOC/ College Professor,268
Telegram,15
Telegram | Friend/ Classmate,1
Twitter,2
Whatsapp,783
Whatsapp | Cloud Counselage Website,9
Whatsapp | Cloud Counselage Website | Others,1
Whatsapp | Cloud Counselage Website | SPOC/ College Professor,2
Whatsapp | Email,26
Whatsapp | Email | Cloud Counselage Website,4
Whatsapp | Email | Cloud Counselage Website | SPOC/ College Professor,1
Whatsapp | Email | Others,1
Whatsapp | Email | Telegram,2
Whatsapp | Friend/ Classmate,12
Whatsapp | Friend/ Classmate | SPOC/ College Professor,3
Whatsapp | Others,12
Whatsapp | SPOC/ College Professor,60
Whatsapp | Telegram,1
Youtube,36
Youtube | Cloud Counselage Website | SPOC/ College Professor,1
Youtube | Email,7
Youtube | Email | Others,1
Youtube | Facebook,3
Youtube | Facebook | Instagram | Email,1
Youtube | Facebook | Instagram | Email | Cloud Counselage Website,1
Youtube | Facebook | Instagram | LinkedIn | Email | Cloud Counselage Website,1
Youtube | Facebook | Instagram | LinkedIn | Whatsapp,1
Youtube | Facebook | Instagram | LinkedIn | Whatsapp | Email,2
Youtube | Facebook | Instagram | LinkedIn | Whatsapp | Email | Cloud Counselage Website,2
Youtube | Facebook | Instagram | LinkedIn | Whatsapp | Email | Cloud Counselage Website | Others,4
Youtube | Facebook | Instagram | LinkedIn | Whatsapp | Email | Cloud Counselage Website | Telegram | Twitter,1
Youtube | Facebook | Instagram | LinkedIn | Whatsapp | Email | Telegram | Friend/ Classmate,1
Youtube | Facebook | Instagram | LinkedIn | Whatsapp | Email | Telegram | Twitter | Friend/ Classmate,1
Youtube | Facebook | Instagram | Whatsapp,1
Youtube | Facebook | Instagram | Whatsapp | Email,5
Youtube | Facebook | Instagram | Whatsapp | Email | Cloud Counselage Website | Friend/ Classmate | SPOC/ College Professor,1
Youtube | Facebook | Instagram | Whatsapp | Email | Cloud Counselage Website | Telegram | Twitter | Friend/ Classmate,1
Youtube | Facebook | Instagram | Whatsapp | Email | Friend/ Classmate,2
Youtube | Facebook | Instagram | Whatsapp | Email | Telegram | Twitter | Friend/ Classmate,2
Youtube | Facebook | Whatsapp,1
Youtube | Facebook | Whatsapp | Email,3
Youtube | Friend/ Classmate,1
Youtube | Instagram,2
Youtube | Instagram | LinkedIn | Whatsapp | Email,1
Youtube | Instagram | Whatsapp,2
Youtube | Instagram | Whatsapp | Cloud Counselage Website,1
Youtube | Instagram | Whatsapp | Email,1
Youtube | Instagram | Whatsapp | Email | Cloud Counselage Website,1
Youtube | Instagram | Whatsapp | Telegram | Twitter,1
Youtube | LinkedIn | Cloud Counselage Website,1
Youtube | LinkedIn | Whatsapp | Email,2
Youtube | Others,2
Youtube | Whatsapp,14
Youtube | Whatsapp | Cloud Counselage Website,1
Youtube | Whatsapp | Email,11
Youtube | Whatsapp | Email | Cloud Counselage Website,1
Youtube | Whatsapp | Friend/ Classmate,1
